# Residuals         
# Time              	p                   	Ux                  	Uy                  
1.625               	4.661753686316e-02	3.882685722268e-02	8.868004406749e-02
1.63                	4.686385778073e-02	4.032902827218e-02	9.075127066206e-02
1.635               	4.677056045702e-02	4.157807634380e-02	9.200449319975e-02
1.64                	4.646949325315e-02	4.208028399315e-02	9.229524670396e-02
1.645               	4.486820268952e-02	4.156384622860e-02	9.119287060929e-02
1.65                	4.347483789310e-02	4.028039755895e-02	8.900768160252e-02
1.655               	4.361103204681e-02	3.873625398081e-02	8.569863049914e-02
1.66                	4.445905286212e-02	3.773397233328e-02	8.193885233476e-02
1.665               	4.533801791968e-02	3.756754256799e-02	7.896753040653e-02
1.67                	4.636527388025e-02	3.861947892988e-02	7.782325692769e-02
1.675               	4.927292201651e-02	4.037302967758e-02	7.824663973478e-02
1.68                	5.239769923694e-02	4.211023741449e-02	7.977052086103e-02
1.685               	4.975676658722e-02	4.362661621113e-02	8.269401470457e-02
1.69                	5.090878399510e-02	4.513402057611e-02	8.697785666382e-02
1.695               	5.120272071098e-02	4.695028205396e-02	9.281726379716e-02
1.7                 	5.119026545978e-02	4.898532205787e-02	9.909158467046e-02
1.705               	5.124454630521e-02	5.063557555000e-02	1.033362069750e-01
1.71                	5.048373959886e-02	5.109318747276e-02	1.047534558074e-01
1.715               	4.886281544095e-02	4.990174155942e-02	1.029314707824e-01
1.72                	4.767195935920e-02	4.764944955033e-02	9.918134626043e-02
1.725               	4.633199431614e-02	4.524094155977e-02	9.566109803008e-02
1.73                	4.550122717393e-02	4.381267860484e-02	9.374932206089e-02
1.735               	4.549028643874e-02	4.425373961224e-02	9.367129335003e-02
1.74                	4.586515484388e-02	4.595984704606e-02	9.438611818439e-02
1.745               	4.959314569567e-02	4.764771260103e-02	9.564602794571e-02
1.75                	5.181814675711e-02	4.931081074362e-02	9.733234847989e-02
1.755               	5.404788156401e-02	5.140083034195e-02	1.001520105876e-01
1.76                	5.695213117066e-02	5.438930132115e-02	1.036841473148e-01
1.765               	5.944864380855e-02	5.831900071590e-02	1.077093182293e-01
1.77                	6.000270790837e-02	6.252682158775e-02	1.098655421544e-01
1.775               	6.047682370782e-02	6.576762091704e-02	1.085127600371e-01
1.78                	5.876486741269e-02	6.665106858644e-02	1.043143177519e-01
1.785               	5.536479695702e-02	6.476607314559e-02	9.899940500402e-02
1.79                	5.347015595921e-02	6.079678685681e-02	9.402831673494e-02
1.795               	5.347871111117e-02	5.669018107630e-02	9.007805644813e-02
1.8                 	5.352791485326e-02	5.588534995385e-02	8.946591732607e-02
1.805               	5.314787944934e-02	5.869556318084e-02	9.209440851464e-02
1.81                	5.689055512520e-02	6.160068321596e-02	9.506194426696e-02
1.815               	5.676052850842e-02	6.356964731187e-02	9.855943577271e-02
1.82                	5.662491186635e-02	6.641674713116e-02	1.039703565942e-01
1.825               	5.921014293906e-02	7.150921473127e-02	1.113395825043e-01
1.83                	6.491556773973e-02	7.846966123480e-02	1.192080323044e-01
1.835               	6.522115018337e-02	8.629857361106e-02	1.246707359329e-01
1.84                	6.408248538444e-02	9.179154271626e-02	1.209230806891e-01
1.845               	6.323728977157e-02	9.095568442719e-02	1.100071326488e-01
1.85                	6.255190430462e-02	8.355051144395e-02	9.834630649281e-02
1.855               	6.099075510545e-02	7.581538007417e-02	9.065150506210e-02
